Geography,EB,Age,EstimatedSalary,NumOfProducts,CreditScore,Tenure,HasCrCard,IsActiveMember,Exited,Gender
0,0.0,2,1,1,1,2,1,1,1,0
1,0.744676904,2,1,1,1,1,0,1,0,0
0,1.401374527,2,1,3,0,8,1,0,1,0
0,0.0,1,1,2,1,1,0,0,0,0
1,1.587055046,2,1,1,2,2,1,1,0,0
1,0.759603894,2,2,2,1,8,1,0,1,1
0,0.0,2,0,2,2,7,1,1,0,1
2,0.963969397,1,1,4,0,4,1,0,1,0
0,1.895518044,2,1,2,0,4,0,1,0,1
0,1.876647055,1,1,1,1,2,1,1,0,1
0,1.272328448,1,1,2,0,6,0,0,0,1
1,0.0,1,1,2,0,3,1,0,0,1
0,0.0,1,0,2,0,10,1,0,0,0
0,0.0,1,2,2,0,5,0,0,0,0
1,0.0,1,1,2,1,7,1,1,0,0
2,2.225019533,2,1,2,1,3,0,1,0,1
2,26.01244882,2,0,1,1,1,1,0,1,1
1,0.0,1,0,2,0,9,1,1,0,0
1,0.0,2,2,1,1,6,0,0,0,1
0,0.0,1,1,2,2,6,1,1,0,0
0,0.0,2,2,2,2,8,1,1,0,1
1,0.0,1,1,2,1,8,1,0,0,0
1,0.0,1,1,1,0,4,1,0,1,0
0,0.0,2,0,2,1,3,0,1,0,1
0,0.0,1,2,1,2,5,1,1,0,0
0,0.0,1,1,2,0,3,0,1,0,1
2,0.804599336,1,2,1,2,2,1,1,0,1
0,0.0,2,0,2,0,9,0,0,0,1
2,1.410849944,2,1,1,0,3,1,1,0,0
0,1.116185248,1,1,2,0,0,1,1,0,1
1,0.0,1,1,3,1,3,1,0,1,0
0,0.544316087,1,2,1,0,7,0,1,0,1
2,1.344494993,2,1,2,0,9,0,0,0,1
1,0.0,2,0,2,0,6,1,1,0,0
1,0.0,1,1,2,2,9,1,1,0,0
0,4.825651017,2,0,1,0,0,1,0,1,0
1,1.273466672,1,1,1,0,3,0,1,0,1
1,0.77751059,1,1,1,2,7,0,1,0,1
0,0.0,1,0,1,2,7,1,1,0,1
2,0.395057472,2,2,2,0,6,0,1,0,1
1,0.0,1,1,1,0,4,1,0,0,1
0,0.675807546,2,2,1,0,8,0,0,1,0
0,1.247101154,2,1,1,0,2,1,1,0,0
0,0.67601701,2,2,1,2,2,0,0,1,0
1,0.984796612,2,2,1,1,5,1,1,0,0
2,0.864869797,1,1,2,2,4,1,1,0,0
2,0.935989854,1,1,1,2,9,1,1,1,0
2,1.171913949,1,1,1,1,9,1,1,1,0
2,1.137692644,1,1,1,0,2,0,1,0,1
2,0.534619734,1,2,2,2,2,1,0,0,0
2,0.587518245,2,2,2,1,10,1,0,0,1
2,1.689924173,1,1,2,1,5,0,0,0,1
0,0.0,1,1,2,2,5,0,0,0,0
2,0.765430691,2,2,1,1,8,0,0,1,1
2,2.461484712,2,0,1,1,1,1,0,1,1
0,1.104059422,2,1,1,1,1,1,1,0,1
0,1.467890793,2,1,1,1,5,1,0,0,1
2,1.663713244,0,0,1,2,0,0,0,0,1
1,0.0,2,0,1,0,4,1,0,1,0
0,0.869816707,2,0,1,1,4,1,1,0,1
2,1.61942606,1,1,1,2,5,0,0,0,1
2,1.204230181,1,1,2,1,9,0,0,0,0
1,0.313676043,1,2,2,0,1,0,0,0,1
1,0.7918356,2,1,1,1,8,1,1,0,1
2,1.175846426,1,1,1,1,4,1,1,0,1
2,6.118209433,1,0,2,2,6,1,1,0,0
2,0.920326454,1,1,1,0,1,1,0,0,0
2,0.626317973,2,2,2,2,10,1,1,0,1
2,1.326145586,1,1,2,1,5,0,1,0,0
0,5.404233368,1,0,1,1,8,1,0,0,0
2,4.713685061,2,0,4,2,2,1,0,1,1
0,0.0,1,0,1,2,6,1,0,0,1
1,3.701222639,1,0,1,1,0,0,1,0,0
2,2.700486985,1,1,2,1,5,1,1,0,0
0,0.0,1,1,2,0,9,0,1,0,1
0,7.982767107,1,0,2,2,1,1,0,0,0
0,0.0,2,1,2,1,8,1,1,0,1
0,0.0,1,1,1,1,9,1,1,0,0
1,0.397721207,1,2,1,2,5,0,1,0,1
2,1.243007719,2,1,2,0,10,1,0,0,0
0,0.563814692,1,2,2,1,1,0,0,0,0
0,0.0,1,1,1,2,2,1,0,1,0
0,0.0,1,0,2,0,3,0,0,0,0
0,0.567133203,1,2,1,0,4,1,1,0,0
0,0.0,2,0,2,0,4,1,0,0,0
1,0.0,2,1,2,1,10,1,1,0,0
1,0.945885038,1,1,1,2,3,1,0,1,1
0,0.0,1,2,2,2,9,1,0,0,1
0,0.0,2,1,3,1,4,1,0,1,0
2,0.520587805,1,2,2,1,3,1,1,0,0
1,0.0,2,2,3,1,5,1,1,1,0
0,0.806256825,2,1,2,2,7,1,0,0,1
0,0.0,1,1,2,0,10,1,0,0,0
0,0.0,1,2,2,2,8,1,1,0,1
1,0.0,2,1,2,2,4,0,1,0,1
1,1.453472763,1,1,1,0,10,0,1,0,1
1,1.591873087,2,1,1,2,9,0,1,0,1
2,0.492134553,1,2,2,2,8,1,1,0,1
1,0.0,1,1,2,1,8,0,0,0,1
0,0.0,1,0,2,0,9,0,0,0,1
0,0.0,1,2,1,1,6,1,1,0,0
0,0.0,2,2,2,1,6,0,0,0,0
0,1.969805379,1,0,1,2,9,1,0,0,1
1,0.0,1,1,2,0,7,1,0,0,1
1,0.0,2,2,1,1,1,1,1,1,0
1,3.455694266,2,0,2,1,4,1,1,1,0
2,8.845626797,1,0,1,0,1,1,1,0,1
2,2.699195327,1,0,1,2,2,0,1,0,0
1,2.08860246,1,1,1,1,5,0,0,0,1
2,0.933474316,1,1,1,0,9,1,0,1,1
2,1.435204131,1,1,1,1,3,0,1,0,1
2,3.968053627,1,0,2,0,7,1,0,0,1
0,1.15485416,2,1,1,0,2,0,0,0,1
1,4.61812091,1,0,1,1,9,0,1,0,1
2,1.524917143,1,1,2,2,9,0,1,1,1
2,1.784452507,1,1,2,1,9,1,1,0,0
2,1.451633365,1,1,1,1,6,1,0,0,0
0,0.0,2,0,2,0,1,1,0,0,0
2,0.53983437,1,2,1,0,8,1,0,1,0
2,1.532458368,1,1,2,1,4,1,0,0,1
0,3.394370101,1,0,2,2,8,0,0,0,1
1,1.200362326,1,1,1,1,6,0,0,0,1
0,0.0,1,1,2,1,6,1,0,0,0
2,0.637888398,2,2,1,1,10,1,1,0,0
0,0.0,1,2,1,1,3,0,0,0,0
0,1.383966969,2,1,1,0,9,1,0,1,1
0,0.0,2,0,1,0,1,0,1,1,0
2,3.171599741,2,0,1,1,0,1,0,1,1
0,0.0,2,2,2,2,7,1,0,0,0
0,0.608808395,1,2,1,2,9,1,0,0,1
0,0.0,1,1,2,2,3,1,1,0,0
2,1.138575638,1,1,1,2,9,1,1,0,0
0,3.442143364,1,0,1,1,9,1,1,0,1
0,0.0,1,0,2,1,1,0,1,0,1
2,1.003354846,1,1,2,2,7,1,1,0,1
2,4.146821677,2,0,2,1,5,1,1,0,0
2,0.379439182,1,2,1,0,5,0,1,0,0
0,1.432540256,1,1,1,1,2,0,1,0,1
1,2.835852251,2,1,1,1,2,1,0,1,0
1,15.07309073,1,0,2,0,1,0,1,1,0
2,0.725172849,2,2,1,2,10,1,0,0,1
0,0.0,1,2,2,1,7,1,1,0,1
0,0.651008779,2,2,1,1,5,1,1,0,0
1,0.0,2,2,1,2,2,1,0,1,1
0,0.324176414,1,1,1,1,5,1,0,1,0
1,2.090027428,1,1,1,0,5,1,1,0,0
1,0.980304377,1,1,2,1,8,1,0,0,0
0,4.366893202,1,0,1,1,5,0,0,0,1
0,1.612607324,2,1,1,2,9,1,0,0,1
0,0.0,1,0,2,0,0,0,1,0,1
1,0.0,1,1,2,2,7,1,0,0,0
0,0.0,2,2,1,0,9,1,0,1,0
1,0.0,2,2,2,1,8,1,0,0,1
0,1.293608513,1,1,1,0,2,1,0,0,1
0,0.0,2,1,2,1,6,1,1,0,0
1,0.0,2,0,1,1,7,1,0,1,1
0,0.0,1,1,2,2,7,0,0,0,0
1,0.0,1,1,2,1,2,1,1,0,0
0,0.928758268,2,1,1,1,6,0,1,0,0
2,1.093702704,1,1,1,1,4,0,0,0,0
1,1.193161452,1,1,1,1,6,0,1,0,0
0,0.0,1,1,2,1,2,1,0,0,1
0,2.291928019,2,0,1,2,7,0,0,0,0
1,0.0,1,1,2,2,2,1,1,0,0
1,2.405483628,1,1,1,1,0,1,0,1,1
2,0.895015265,1,1,2,1,9,1,1,0,1
2,0.695580304,1,2,1,1,7,1,0,1,0
1,0.55477482,2,2,1,1,9,1,0,0,0
1,0.0,1,0,2,1,2,1,0,1,0
2,1.090252624,1,1,2,1,9,0,0,0,1
0,0.79329389,1,2,1,0,4,1,0,0,0
2,0.614284342,1,2,2,1,5,1,0,0,1
2,23.68274709,2,0,1,0,10,1,0,1,1
0,1.510530844,1,1,1,0,4,1,0,0,1
0,0.0,1,1,2,0,5,1,1,0,1
1,4.906095411,1,0,1,0,7,1,1,0,0
0,0.0,1,1,2,0,0,1,1,0,0
2,1.062043338,1,2,2,1,5,0,0,0,1
1,1.076170583,1,1,1,1,8,0,1,0,0
2,19.99898649,2,0,1,2,3,1,0,1,0
1,6.27800385,2,0,1,2,2,1,1,0,0
0,0.0,2,0,2,0,2,1,1,0,1
2,0.929062282,2,2,2,2,1,1,0,0,0
